organization_name,external_id,schema_type,description,aliases,published_date,updated_date,data_source_url
Al-Gama'a al-Islamiyya (AGAI),12,Terrorist Organization,"Al-Gama'a al-Islamiyya (AGAI) started in the early 1970s as an Islamist student movement on Egyptian campuses. By the late 1970s, the organization began to advocate change by force. Its primary goal was to overthrow the Egyptian government and replace it with an Islamic state governed by Sharia Law. Past AGAI attacks primarily targeted the police, government officials, informants, government sympathizers, foreign tourists, and Coptic Christians. AGAI claimed responsibility for the February 1993 bombing of a Café in Cairo which killed at least 3 people and wounded 15 others, including a Canadian. AGAI was also responsible for the e killing of 58 foreign tourists and four Egyptians in Luxor, Egypt, in November 1997.",Islamic Group; (IG).,2002-07-23,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Ansar al-Islam (AI),13,Terrorist Organization,"One of the most prominent anti-Coalition groups in Iraq, Ansar al-Islam (AI) is the product of a 2001 merger between various Kurdish militant Islamist factions. It maintains links to Al Qaida and elements of the group have also pledged allegiance to the Islamic State . AI's current goals are to expel all foreign forces from Iraq, counter the growing influence of Iraq's Shia and secular Kurdish communities, and to establish an independent Iraqi state governed by Sharia Law. In 2002, AI attempted to assassinate the Prime Minister of the Patriotic Union of Kurdistan region of Kurdistan. In 2004, AI was responsible for a coordinated double suicide bombing on the respective headquarters of two Kurdish political parties that killed more than 60 people and wounded over 200 others. AI is also well-known for kidnapping and executing foreign hostages, often beheading their victims and posting video of the act on the Internet. On February 20, 2018, AI released a video on a Telegram channel displaying its Syria-based weapons development. AI claimed responsibility for an incident in 2021 when rockets fired at Jurin military camp in Syria injured at least two civilians. AI no longer supports Al Qaida operations and has grown increasingly independent in terms of propaganda, operations, and decision making since 2021.",The Partisans of Islam; Helpers of Islam; Supporters of Islam; Soldiers of God; Kurdistan Taliban; Soldiers of Islam; Kurdistan Supporters of Islam; Supporters of Islam in Kurdistan; Followers of Islam in Kurdistan; Ansar al-Sunna.,2004-05-17,2024-06-17,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Ansar Dine,130,Terrorist Organization,"Ansar Dine is a Mali-based Salafist Islamic extremist group founded in late 2011 by its Tuareg leader Iyad ag Ghaly. Iyad ag Ghaly, the leader of Ansar Dine, also leads Jama'at Nusrat Al-Islam Wal-Muslimin (JNIM), and Ansar Dine is considered to be a subgroup of JNIM. Its main objectives are to implement Sharia law across Mali and to expel foreign influence from the country. Although largely focused on Mali, Ansar Dine has worked in coordination with Al Qaida in the Islamic Mahgreb (AQIM) and other Al Qaida-aligned groups, and has expressed support for a global jihadist ideology. Ansar Dine mainly targets Malian, French, and United Nations forces. It has also targeted civilians, including Westerners, for kidnapping.",Ansar al-Dine; Ansar al-Din; Ancar Dine; Ansar ul-Din; Ansar Eddine; Defenders of the Faith; Jum'a Ansar al-din al-salafiya; Harakat Ansar al-Dine; Harakat Ansar al-Din; Ansar Din; Ansar ed dine; Ansar Dine Sud; Ansar Dine katiba (brigade) Khalid Ibn al-Walid,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Ansarallah,131,Terrorist Organization,"Ansarallah (“Partisans of Allah”), commonly referred to as the Houthis, is a militant group that claims legitimacy as Yemen’s government, disregarding the internationally recognized government. Founded in 1992, Ansarallah initially focused on religious and cultural revivalism but later shifted to political activism, subsequently launching an armed rebellion against the government. The group opposes Israel and the United States and aligns itself with the Iranian-led “axis of resistance”, which includes Hamas and Hezbollah. In the context of the Israel-Hamas war, Ansarallah began disruptive strikes on commercial and military vessels in the Red Sea and other waterways, as well as strikes against Israel. The group is also known for its repressive conduct in areas under its control. The group arrests and detains peaceful protesters, restricts the rights of women and girls, and hinders Yemeni civilians from accessing life-saving humanitarian aid. Listed entities under the Criminal Code, such as the Islamic Revolutionary Guard Corps-Qods Force and Hezbollah, have provided Ansarallah with arms, training, and financial support, significantly enhancing the group’s capabilities and contributing to its destabilizing activities in the region.",,2024-12-02,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Aryan Strikeforce,61,Terrorist Organization,"Founded in the United Kingdom between 2006 and 2010, the Aryan Strikeforce (ASF) is a neo-Nazi group which aims to carry out violent activities to overthrow governments, start a race war, and eradicate ethnic minorities. The ASF describes itself as a white nationalist organization with the goal to protect the honour of their women, children, and the future of their race and nation, using violence as a necessary tool to achieve its goals. ASF subscribes to the philosophy of decentralized leaderless resistance and has had chapters in the United Kingdom and the United States, and contacts in Eastern Europe, South America, South Africa, and Canada. Members of the group have been convicted of crimes in the United Kingdom and the United States involving the production of chemical weapons, preparing and possessing material useful to commit acts of terrorism, facilitating the transfer of bomb-making instructions, and attempting to secure illegal firearms. Of particular note, the ASF had planned a suicide bombing attack on counter-protestors during a November 2016 white supremacist rally in Pennsylvania. The group is associated with Combat 18, the armed branch of Blood & Honour, both listed entities in Canada, that has carried out violent actions including murders and bombings.",Aryan Strike Force; ASF,2021-06-25,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Asbat Al-Ansar (AAA) (The League of Partisans),15,Terrorist Organization,"God's Partisans, Gathering of Supporters, Partisan's League, Asbat Al-Ansar (AAA) is a Lebanese Islamist extremist group linked to Al Qaida. Its main objective is to promote the establishment of an Islamic state in Lebanon and it is opposed to Christian, secular, and Shia institutions in the country. Past targets have included the Lebanese state, as well as elements within the country AAA considers un-Islamic. For example, two AAA members attacked a Sidon court in 1999 and killed four people. The group has twice been involved in plots to assassinate the US Ambassador to Lebanon. Between 2005 and 2011, AAA members traveled to Iraq to fight against Coalition forces.",Osbat Al Ansar; Usbat Al Ansar; Esbat Al-Ansar; Isbat Al Ansar; Usbat-ul-Ansar; Band of Helpers; Band of Partisans; League of the Followers,2002-11-27,2021-06-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Atomwaffen Division,160,Terrorist Organization,"Founded in the United States in 2015, the Atomwaffen Division (AWD) is a militant accelerationist neo-Nazi terror group, which has since expanded to the United Kingdom, Canada, Germany, and elsewhere. The group calls for acts of violence against racial, religious, and ethnic groups, and informants, police, and bureaucrats. AWD promotes a philosophy that individuals should carry out attacks against institutions and civilians to increase societal tensions, collapsing the government, and creating a National Socialist state for the white race out of the chaos. AWD has previously held training camps, also known as hate camps, where its members receive weapons and hand-to-hand combat training. AWD members have also carried out violent acts at public rallies, including the August 2017 rally in Charlottesville, Virginia. In February 2025, two AWD members were found guilty in the U.S. for conspiring to damage Maryland's power grid.",AWD; National Socialist Order; NSO,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Aum Shinrikyo (Aum),16,Terrorist Organization,"Formed in Japan in 1987, Aum Shinrikyo (Aum) is a religious organization with a belief system that mixes various religions – primarily Buddhism – with science fiction and the prophecies of Nostradamus. Aum aimed to control Japan, then the world, and subsequently create a global utopian society. Originally peaceful in nature, the group became increasingly dangerous and violent, seeking to actively bring about Armageddon. In 1994 Aum committed its first sarin attack against Japanese civilians by releasing the nerve agent in Matsumoto, killing seven people and wounding more than a hundred others. In its most infamous attack, Aum released sarin in the Tokyo subway system in 1995, killing a dozen people and wounding thousands more. As of 2016, Aum continues to maintain facilities in Japan and Russia.",Aum Shinri Kyo; Aum Supreme Truth; A. I. C. Comprehensive Research Institute; A. I. C. Sogo Kenkyusho; Aleph,2002-12-10,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Babbar Khalsa International (BKI),17,Terrorist Organization,"Babbar Khalsa International (BKI) is a Sikh terrorist entity that aims to establish a fundamentalist independent Sikh state called Khalistan (Land of the Pure) in what is presently the Indian state of Punjab. BKI activities include armed attacks, assassinations, and bombings. BKI has members outside of India in Pakistan, North America, Europe, and Scandinavia. In recent years, Indian police have arrested associates of BKI, recovering illegal arms and ammunition, and circumventing narco-smugglers seeking to procure weapons for BKI or provide the money to the terrorists and operatives of BKI.",Babbar Khalsa (BK),2003-06-18,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Blood & Honour (B&H),59,Terrorist Organization,"Blood & Honour (B&H) is an international neo-Nazi network whose ideology is derived from the National Socialist doctrine of Nazi Germany. Through their armed branch, Combat 18 (C18), the group has carried out violent actions, including murders and bombings. B&H was founded in the United Kingdom in 1987 and grew during the 1990s, establishing branches throughout Europe by the end of the decade. B&H attacks have occurred in North America and in several EU-member states. In January 2012, four B&H members in Tampa, Florida, were convicted of the 1998 murder of two homeless men who were killed because the group considered them “inferior.” In February 2012, members of B&H and C18 firebombed a building occupied mostly by Romani families. B&H has continued to engage in terrorist activities, including events promoting Nazi symbolism and organizing concerts as a means to mobilize people.",,2019-06-21,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
