"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"NK-6tcs9whcpK47p62zJkB6gs","LegalEntity","Joint Stock Company Research and Production Enterprise Sapfir","AO NPP Sapfir;AO Nauchno-Proizvodstvennoe Predpriyatie Sapfir;JSC NPP Sapphire;JSC Research and Production Company Sapfir;株式会社 NPP サプフィル;株式会社学術生産企業サプフィル;株式会社学術生産会 社サプフィル","","","53 Shcherbakovskaya Street, Building 17, Moscow, 105187, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-6zRXfx2vLEpcLwnSxNjQDG","LegalEntity","Joint Stock Company Scientific Production Enterprise Topaz","AO Nauchno-Proizvodstvennoe Predpriyatie Topaz;Closed Joint-Stock Company Scientific Production Enterprise Topaz;JSC NPP Topaz;JSC Research and Production Enterprise Topaz;株式会社 NPP トパズ;株式会社学術生産企業トパズ;閉鎖型株式会社学術生産企業 トパズ","","","16 Third Mytishchinskaya Street, Building 34, Moscow, 129626, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-78XDo3gXLbFbQjMsUyvwFz","LegalEntity","LLC Chipdevice","Limited Liability Company Chipdevice;OOO Chipdevais;有限会社チップデバイス","","","5 Rizhskaya, Corpus 1 Building A, Suite 5N, Unit 27, 28, Office 416, St. Petersburg, 195196, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-7GVeaajMBBTdJLhnVxmxWi","LegalEntity","Joint Stock Company Scientific Research Institute of Industrial Television Rastr","AO NIIPT Rastr;AO Nauchno Issledovatelskii Institut Promyshlennogo Televideniya Rastr;株式会社 NIIPTラストル;株式会社産業テレビジョン技術科学研究所ラストル","","","39 Bolshaya Sankt-Peterburgskaya Street, Veliky Novgorod, Novgorod Oblast, 173001, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-7k8pJzCxHVd99yjMP3Uigr","LegalEntity","Polyot Chelyabinsk Radio Plant JSC","ChRZ Polyot (flight) JSC;株式会社 ChRZパリョット（フ ライト）;株式会社パリョット・チェリャビンスク無線プラント","","","6 Ternopol'skaya St., Chelyabinsk, 454126, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-7pySNmfKyqEL6Ksa74ynsf","LegalEntity","Moscow Institute of Thermal Technology","MITT;モスクワ熱技術研究所","","","10 Berezovaya Alleya, Moscow, 127273, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-7yofgHuPPFPTy84hKNAphS","LegalEntity","Scientific Research Institute of Applied Acoustics","NIIPA;応用音響科学研究所","","","9/7A 9 May Street, Dubna, Moscow Oblast, 141981, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-8AvztudXuUSrSDv9yBzh4M","LegalEntity","Miass Machine-Building Factory","AO Miasskiy mashinostroitelnyy zavod;JSC MMZ;ミアス機械・製造工場;株式会社 MMZ;株式会社ミアス機械製造工場","","","1 Turgoyakskoye Highway, Miass, Chelyabinksaya Oblast, Russia, 456300.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-8KYDTUw4zJMCqkBuhYgUHT","LegalEntity","Allparts Trading Co., Ltd","All Parts Trading Company Limited;オールパーツ･トレーディング有限会社","","","3 Garden Road Central, Hong Kong, China;4/F Building 6 Deguan Lighting Factory, No.2 South 1st, Guangzhou, Guangdong, China.;Room 13, 27/F, Ho King Commercial Centre, 2-16 Fa Yuen Street, Mongkok, Kowloon, Hong Kong, China;Room 1901H, Bank of Communications Building, Futian District, Shenzhen, Guangdong, China;Room 2901B,Bank of Communications, Futian District, Shenzhen, Guangdong, China;Room 803, Chevalier House,45-51 Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong, China;Unit 3, 6/F, Kam Hon Industrial Building,8 Wang Kwun Road, Kowloon Bay, Hong Kong, China","","ウクライナをめぐる国際平和のための国際的な努力に我が国として寄与す るために講ずる輸出等に係る禁止措置の対象となるロシア連邦及びベラルー シ共和国以外の国の団体を指定する件（令和五年外務省告示第四百四十七号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-8TiC5iEuVfv5cjUi2oT6mB","LegalEntity","Bee Insaat Mimarlik Anonim Sirketi","Bee Insaat;Bee Insaat Mimarlik AS;Bee İnșaat Mimarlik A.Ș;Bee İnșaat Mimarlik Anonim Șirketi;ビー･インシャート;ビー･インシャート･ミーマルルック株式会社","","","Merkez Mah., Seckin Sok. Z Ofis 2-4, A, Kagithane, Istanbul, Turkey.;No:4B/397 Skyland Sitesi B Azerbaycan Cad., Huzur Mah., Sariyer, Istanbul, Turkey","","ウクライナをめぐる国際平和のための国際的な努力に我が国として寄与す るために講ずる輸出等に係る禁止措置の対象となるロシア連邦及びベラルー シ共和国以外の国の団体を指定する件（令和五年外務省告示第四百四十七号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-9EGhkzCc25yJBCUGwXzJtX","LegalEntity","Lutch Design Office JSC","KB-Lutch;KBルッチ;Lutch Design Bureau JCS;Lutch JSC;株式会社ルッチ;株式会社ルッチ設計局;株式会社ルッチ設計所","","","25 Pobeda Blvd. Rybinsk, Yaroslavskaya Oblast, 152920, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-9LLRHjmftydMfcwLumBVUL","LegalEntity","ISE SO RAN Institute of High-Current Electronics","IHCE;IHCE SB RAS;ISE SO RAN高圧電子工学研究所;Institute of High Current Electronics Siberian Branch Russian Academy of Science;ロシア科学アカデミーシベリア支部高圧電子工学研 究所","","","2/3 Prospekt Akeademicheskiy, Tomsk, 634055, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-9Q4cQUQHot3CxdyMhx8bjZ","LegalEntity","Moscow Aviation Institute","MAI;モスクワ航空大学","","","4 Volokolamskoe Shosse,Moscow, 125993, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-9Qv9zm4TUQDTQC3wULLwXN","LegalEntity","N.A. Dollezhal Order of Lenin Research and Design Institute of Power Engineering","JSC NIKIET;JSC Order of Lenin Research and Design Institute of Energy Engineering named after N. A. Dollezhal;ドレジャリ名称レーニン勲章エネルギー工学研究設計研究所;株式会社 NIKIET;株式会社ドレジャリ名称 レーニン勲章エネルギー工学研究設計研究所","","","2/8 Krasnosel’skaya Street, Moscow, Russia, 107140.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-9iiiphJsGDHoyN8WZuof3Q","LegalEntity","Software Research Institute","JSC NII PS;JSC Research Institute of Software Tools;ソフトウェア研究所;株式会社 NII PS;株式会社ソフトウェアツール研究所","","","22 Politekhnicheskaya Street, Lit N, St. Petersburg, 194021, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-A4xZy7j4p4fyEZtrZj2ADM","LegalEntity","Agu Information Technology Co Limited","Makewell Industrial Trading Co., Limited;アグ･インフォメーション･テクノロジー有限会社;メイクウェル･インダストリアル･トレーディング有限会社（麥克維爾工業貿易有限公司）;啊咕信息技術有限公 司","","","Room 2-2, 2/F, Fudu Building, 98 Argyle Street, Hong Kong, China;Unit 22, 2/F, Foo To Building, 98 Argyle Street, Mongkok, Kowloon, Hong Kong, China.","","ウクライナをめぐる国際平和のための国際的な努力に我が国として寄与す るために講ずる輸出等に係る禁止措置の対象となるロシア連邦及びベラルー シ共和国以外の国の団体を指定する件（令和五年外務省告示第四百四十七号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-A9AA56PY8Bn3s7NWCLNVec","LegalEntity","Ervacan Makina Ekipmanlari Ve San Ted Ltd","Ervacan;Ervacan Machinery Equipment and Industry Supply Ltd;Ervacan Makina;Ervacan Makina Ekipmanlari Ve Sanayi Tedarik Limited Șirketi;Ervacan Makina Ekipmanları ve Sanayi Tedarik Ltd Ști;Ervacan Makina Ltd;エルヴァジャン;エルヴァジャン･マキ ナ;エルヴァジャン･マキナ有限会社;エルヴァジャン･マキナ･エキプマンラル･ヴェ･サナーイ･テダーリッキ有 限会社;エルヴァジャン･マシーナリー･エクイプ メント･アンド･インダストリー･サプライ有限会社","","","Küçükbakkalköy Mah., Defne Sok., Flora Suite Office, KNo:1, DNo:365, PK:34750, Atasehir, Istanbul, Turkey.","","ウクライナをめぐる国際平和のための国際的な努力に我が国として寄与す るために講ずる輸出等に係る禁止措置の対象となるロシア連邦及びベラルー シ共和国以外の国の団体を指定する件（令和五年外務省告示第四百四十七号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-AFutm7VgVJARWPAb7pGpZS","LegalEntity","Joint Stock Company Special Design Bureau of Computer Engineering","AO SKB VT;AO Spetsialnoe Konstruktorskoe Byuro Vychislitelnoi Tekhniki;株式会社 SKB VT;株式会社コンピューター機器特別設計局","","","1 Maksima Gorkogo Street, Pskov, Pskov Oblast, 180007, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-AUFDybEfoMpWHyzDmnd33f","LegalEntity","Crynofist Aviation FZCO","Crynofist Aviation;Crynofist Design and Engineering Solutions Pvt Ltd;クリノフィスト･アビエーシ ョン;クリノフィスト･アビエーション FZCO;クリノフィスト･デザイン･アンド･エンジニアリング･ソリューシ ョンズ非公開会社","","","9WB 159-SO-26, First Floor, 9WB, Dubai, United Arab Emirates.","","ウクライナをめぐる国際平和のための国際的な努力に我が国として寄与す るために講ずる輸出等に係る禁止措置の対象となるロシア連邦及びベラルー シ共和国以外の国の団体を指定する件（令和五年外務省告示第四百四十七号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-AWmAkcUScT6eq33to8E47v","LegalEntity","Institute of Physics Named After P.N. Lebedev of the Russian Academy of Sciences","FIAN;LPI RAS;Lebedev Physical Institute;レベデフ物理研究所;ロシア科学アカデミーＰ．Ｎ．レベデフ名称物理学研究所","","","53 Leninsky Prospekt, Moscow, 119991, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-AWoipMBUyAhZ98Gt7soDyH","LegalEntity","Public Joint Stock Company Megafon","Megafon;PAO Megafon;PJSC Megafon;メガフォン;公共株式会社メガフォン","","","41 Oruzheiny Lane, Moscow, 127006, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-Ad7RWmjVcVcyjF2HTf7eNZ","LegalEntity","Joint Stock Company Metallist Samar","Metallist Samara;メタルリスト・サマラ;株式会社メタルリスト・サマラ","","","278 Promyshlennost Street, Samara, Samara Oblast, 443023, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-Ahc9XhAgXQ43dPNkncLjGX","LegalEntity","DEXP International Limited","DEXPインターナショナル有限会社","","","7B, 1801-03, 18/F, East Town Building, 41 Lockhart Road, Wan Chai, Hong Kong, China.;Unit 7103, 7/F Yf Life Tower 33 Lockhart Road Wan Chai, Hong Kong, China","","ウクライナをめぐる国際平和のための国際的な努力に我が国として寄与す るために講ずる輸出等に係る禁止措置の対象となるロシア連邦及びベラルー シ共和国以外の国の団体を指定する件（令和五年外務省告示第四百四十七号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-AsfvXZuhh25eL8nrtfnu5e","LegalEntity","Joint Stock Company Research and Production Association Named After S.A. Lavochkin","AO Nauchno-Proizvodstvennoe Obedinenie IM. S.A. Lavochkina;JSC Lavochkin Science and Production Association;NPO Imeni S.A. Lavochkina;NPO Lavochkin;S.A. Lavochkin Scientific Production Association;S.A.ラヴォチキン名称学術生産団体;S.A.ラヴォチキン学術 生産団体;学術生産団体ラヴォチキン;株式会社 S.A.ラヴォチキン名称学術生産団体;株式会社ラヴォチキン学術生産団体","","","24 Leningradskaya Street, Khimki, Moscow Oblast, 141402, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
"NK-B6mUSPh6G6XQyv2SiagytD","LegalEntity","Concern Radio-Electronic Technologies, Joint Stock Company Vzlet Engineering Testing Support","ISI Vzlet;ISI ヴズリョート;コンツェルン無線・電子テクノロジー、株式会社ヴズリョート工学実験サポート","","","ISI Vzlet Room, Aktyubinsk-7, Aktyubinsk Region, Astrakhan Oblast, 476507, Russia.","","国際平和のための国際的な努力に我が国として寄与するために講ずる輸出等に係る禁止措置 の対象となるロシア連邦の団体（令和四年外務省告示第八十二号）","","","","Japan METI Russian List","2025-03-14T00:00:00","2025-03-14T00:00:00","2025-03-14T00:00:00"
